posicao_ranking,nome_fundo,categoria,data_cota,cotacao,z-score
1,Desconhecido,Ações,2024-04-25,44.45,1.4149737468458712
2,Desconhecido,Ações,2024-04-03,43.87,1.4149737468458712
3,Desconhecido,Ações,2024-05-28,45.01,1.4149737468458712
4,Desconhecido,Ações,2024-01-26,45.65,1.4149737468458712
5,Desconhecido,Ações,2024-05-23,44.11,1.4149737468458712
6,Desconhecido,Ações,2024-04-02,44.9,1.4149737468458712
7,Desconhecido,Ações,2024-01-08,44.32,1.4149737468458712
8,Desconhecido,Ações,2024-03-18,43.62,1.4149737468458712
9,Desconhecido,Ações,2024-05-07,43.94,1.4149737468458712
10,Desconhecido,Ações,2024-01-19,44.46,1.4149737468458712
11,Desconhecido,Ações,2024-05-09,37.44,1.4149737468458712
12,Desconhecido,Ações,2024-03-01,45.12,1.4149737468458712
13,Desconhecido,Ações,2024-04-08,44.5,1.4149737468458712
14,Desconhecido,Ações,2024-02-12,45.49,1.4149737468458712
15,Desconhecido,Ações,2024-05-15,43.23,1.4149737468458712
16,Desconhecido,Ações,2024-02-02,44.61,1.4149737468458712
17,Desconhecido,Ações,2024-01-30,44.6,1.4149737468458712
18,Desconhecido,Ações,2024-03-30,45.36,1.4149737468458712
19,Desconhecido,Ações,2024-02-22,43.96,1.4149737468458712
20,Desconhecido,Ações,2024-02-20,43.9,1.4149737468458712
21,Desconhecido,Ações,2024-04-24,45.57,1.4149737468458712
22,Desconhecido,Ações,2024-02-04,44.19,1.4149737468458712
23,Desconhecido,Ações,2024-04-22,44.52,1.4149737468458712
24,Desconhecido,Ações,2024-02-15,45.08,1.4149737468458712
25,Desconhecido,Ações,2024-05-02,44.46,1.4149737468458712
26,Desconhecido,Ações,2024-01-25,44.47,1.4149737468458712
27,Desconhecido,Ações,2024-03-19,44.18,1.4149737468458712
28,Desconhecido,Ações,2024-02-10,43.92,1.4149737468458712
29,Desconhecido,Ações,2024-04-11,43.97,1.4149737468458712
30,Desconhecido,Ações,2024-03-06,45.4,1.4149737468458712
31,Desconhecido,Ações,2024-04-10,44.23,1.4149737468458712
32,Desconhecido,Ações,2024-01-24,43.43,1.4149737468458712
33,Desconhecido,Ações,2024-03-28,42.72,1.4149737468458712
34,Desconhecido,Ações,2024-04-18,43.4,1.4149737468458712
35,Desconhecido,Ações,2024-03-11,43.88,1.4149737468458712
36,Desconhecido,Ações,2024-01-07,0.0,1.4149737468458712
37,Desconhecido,Ações,2024-01-01,46.19,1.4149737468458712
38,Desconhecido,Ações,2024-02-19,45.98,1.4149737468458712
39,Desconhecido,Ações,2024-02-07,42.85,1.4149737468458712
40,Desconhecido,Ações,2024-04-12,45.79,1.4149737468458712
41,Desconhecido,Ações,2024-01-15,44.79,1.4149737468458712
42,Desconhecido,Ações,2024-05-13,44.44,1.4149737468458712
43,Desconhecido,Ações,2024-05-05,43.64,1.4149737468458712
44,Desconhecido,Ações,2024-02-18,44.32,1.4149737468458712
45,Desconhecido,Ações,2024-05-03,44.55,1.4149737468458712
46,Desconhecido,Ações,2024-02-13,43.43,1.4149737468458712
47,Desconhecido,Ações,2024-01-04,300.1268165859564,1.4149737468458712
48,Desconhecido,Ações,2024-03-08,44.52,1.4149737468458712
49,Desconhecido,Ações,2024-04-23,39.58,1.4149737468458712
50,Desconhecido,Ações,2024-02-20,43.9,1.4149737468458712
51,Desconhecido,Ações,2024-05-11,45.3,1.4149737468458712
52,Desconhecido,Ações,2024-02-25,43.83,1.4149737468458712
53,Desconhecido,Ações,2024-04-27,43.79,1.4149737468458712
54,Desconhecido,Ações,2024-04-28,44.41,1.4149737468458712
55,Desconhecido,Ações,2024-03-24,0.0,1.4149737468458712
56,Desconhecido,Ações,2024-05-06,45.07,1.4149737468458712
57,Desconhecido,Ações,2024-02-28,44.87,1.4149737468458712
58,Desconhecido,Ações,2024-04-20,45.92,1.4149737468458712
59,Desconhecido,Ações,2024-05-10,44.32,1.4149737468458712
60,Desconhecido,Ações,2024-05-24,45.52,1.4149737468458712
61,Desconhecido,Ações,2024-02-29,43.95,1.4149737468458712
62,Desconhecido,Ações,2024-04-09,44.94,1.4149737468458712
63,Desconhecido,Ações,2024-01-03,43.91,1.4149737468458712
64,Desconhecido,Ações,2024-05-08,45.71,1.4149737468458712
65,Desconhecido,Ações,2024-02-11,43.1,1.4149737468458712
66,Desconhecido,Ações,2024-03-20,44.56,1.4149737468458712
67,Desconhecido,Ações,2024-04-29,46.02,1.4149737468458712
68,Desconhecido,Ações,2024-05-02,44.46,1.4149737468458712
69,Desconhecido,Ações,2024-05-16,44.4,1.4149737468458712
70,Desconhecido,Ações,2024-02-06,44.62,1.4149737468458712
71,Desconhecido,Ações,2024-04-30,44.37,1.4149737468458712
72,Desconhecido,Ações,2024-03-03,44.29,1.4149737468458712
73,Desconhecido,Ações,2024-03-02,0.0,1.4149737468458712
74,Desconhecido,Ações,2024-02-09,44.16,1.4149737468458712
75,Desconhecido,Ações,2024-04-19,45.32,1.4149737468458712
76,Desconhecido,Ações,2024-01-10,44.52,1.4149737468458712
77,Desconhecido,Ações,2024-01-16,45.52,1.4149737468458712
78,Desconhecido,Ações,2024-02-03,45.73,1.4149737468458712
79,Desconhecido,Ações,2024-05-19,44.6,1.4149737468458712
80,Desconhecido,Ações,2024-05-25,45.69,1.4149737468458712
81,Desconhecido,Ações,2024-05-12,43.85,1.4149737468458712
82,Desconhecido,Ações,2024-02-05,44.39,1.4149737468458712
