id_fundo,data_cota,cotacao,rentabilidade_dia,volume_negociado
112,2024-04-24,97.1046,0.021069,987027
127,2024-02-01,78.3255,-0.010293,-348479
65,2024-02-19,46.5597,-0.02835,823585
146,2024-03-30,4966.542,-0.01699,388691
71,2024-05-01,25.1247,0.014882,132518
52,2024-02-02,32.9812,-0.025436,191994
25,2024-01-26,14.6521,0.017184,-74653
41,2024-02-06,0.0001,-0.026085,558593
161,2024-03-15,55.5719,-0.009916,980489
39,2024-05-21,82.9223,0.014327,984728
176,2024-05-26,70.1896,-0.010417,940307
93,2024-03-28,16.87,0.009211,855374
149,2024-03-13,68.331,0.050492,999917
125,2024-03-08,46.4502,0.029446,452653
102,2024-04-13,0.0001,-0.054734,582148
69,2024-03-13,0.0001,0.002223,922250
143,2024-02-09,87.1203,-0.003964,354809
191,2024-04-15,96.1202,-0.032668,806984
132,2024-02-16,19.3177,-0.028918,729293
128,2024-05-11,22.8124,-0.003299,7560
3,2024-02-07,44.7285,-0.012047,850817
44,2024-01-07,22.7034,-0.003095,402941
48,2024-01-19,66.1447,-0.001515,670773
109,2024-04-20,12.2843,0.032597,751445
19,2024-02-22,89.6609,-0.012248,243918
199,2024-01-31,76.4599,-0.012241,271811
169,2024-05-22,49.0724,0.004253,335146
123,2024-05-08,34.655,-0.007538,458622
7,2024-03-12,27.1448,0.012705,668082
98,2024-05-06,65.5929,-0.02296,707499
160,30/01/2024,19.1403,0.015186,965318
16,2024-02-27,58.7387,-0.002143,7494
109,2024-04-15,12.3499,0.038115,683657
37,2024-01-03,83.8074,-0.018858,475601
99,2024-05-20,54.2461,0.010061,430856
98,2024-04-14,66.1521,-0.01463,483503
15,2024-01-30,44.8234,-0.004224,112316
94,2024-04-03,71.0919,-0.002311,524480
195,2024-02-26,59.8699,0.016357,78776
25,2024-02-15,13.9954,-0.028406,343538
130,01/01/2024,27.5377,-0.007863,423880
124,2024-01-22,19.6822,-0.01088,241681
146,2024-04-08,49.9465,-0.011426,335856
73,2024-02-03,71.982,-0.01007,579568
148,2024-04-12,47.5939,0.013881,647954
120,2024-05-14,33.2434,-0.013155,610355
38,2024-04-19,0.0001,0.010363,910512
176,2024-02-13,71.7814,0.012026,628841
79,2024-01-25,60.4001,0.010335,25677
177,2024-03-18,46.3965,0.002984,144484
188,2024-03-14,43.4603,-0.008105,434541
47,2024-02-27,96.9336,0.005106,160616
27,22/02/2024,17.6781,-0.026508,506678
32,2024-04-02,21.3452,-0.022674,578875
115,2024-04-25,34.2327,-0.004626,537015
3,2024-03-01,44.8758,-0.008794,382502
126,2024-01-21,83.931,-0.025512,390274
110,2024-05-08,18.4783,0.015705,859552
176,2024-03-23,72.0707,0.016105,803093
5,2024-02-05,78.9568,-0.024544,692453
38,2024-01-19,95.6834,0.023606,566603
74,2024-01-17,16.9991,-0.003956,278016
35,2024-03-06,53.0565,-0.012055,260430
33,2024-03-24,18.1541,0.003129,722247
100,2024-03-10,92.7565,-0.002207,286876
23,2024-04-21,52.2678,-0.108205,339928
121,2024-03-10,51.053,0.018283,120928
104,2024-02-28,60.399,0.01799,869521
3,2024-04-04,45.5076,0.005161,719198
98,2024-05-23,66.7415,-0.005851,-706980
115,22/03/2024,33.7593,-0.018392,136174
135,2024-01-15,35.1729,-0.007811,619218
88,2024-02-26,4010.2029,0.001703,865077
92,2024-01-18,25.6178,0.033692,24410
110,2024-05-10,1795.782,-0.012906,586922
57,2024-03-14,29.3601,-0.014673,371306
120,2024-02-07,33.271,-0.012337,288576
80,2024-03-30,71.3264,0.006062,4433
56,2024-03-13,7241.7941,0.017892,350123
2,2024-04-12,48.1675,0.011281,60429
81,2024-04-03,23.4717,-0.015567,599052
162,2024-05-28,93.3174,0.008428,719988
169,2024-05-28,47.5366,-0.027178,849049
76,2024-03-18,35.9486,0.02051,328670
15,2024-05-20,44.7317,-0.006262,672042
141,2024-03-26,88.5023,0.031006,843205
122,2024-03-14,25.3936,0.009819,469648
167,2024-01-11,50.2151,0.022385,938895
125,2024-02-29,45.5565,0.009637,335889
41,2024-04-27,19.2737,0.00462,417757
95,2024-02-25,11.6187,0.001337,130156
129,2024-04-11,82.5998,0.018605,882455
131,20/05/2024,43.7344,0.025659,392041
118,2024-05-29,26.0223,0.024499,749140
94,13/02/2024,70.3329,-0.012963,447805
29,2024-01-05,24.4352,-0.008907,837414
60,2024-02-20,54.1242,-0.060308,-868545
168,2024-01-31,55.3331,-0.004952,153346
144,2024-03-03,31.1222,-0.005503,291636
147,13/01/2024,39.9279,0.024089,271145
16,2024-01-12,58.809,-0.000949,994305
25,2024-01-04,13.8437,-0.038937,572766
108,2024-01-14,81.9003,0.006852,871286
50,2024-01-11,58.3505,0.041036,155274
105,2024-04-11,84.3246,-0.00611,497890
132,2024-02-10,19.4703,-0.021247,957043
186,2024-04-13,97.7139,-0.022382,629452
56,02/04/2024,70.4496,-0.009775,666812
129,23/05/2024,81.1067,0.000192,130018
145,2024-03-08,14.0864,0.023589,857618
159,12/02/2024,0.0001,0.037502,245399
3,2024-01-25,44.8178,-0.010076,790458
139,2024-03-03,34.0153,-0.006982,444936
106,2024-01-31,40.9554,0.013635,832016
25,2024-02-17,14.6762,0.018858,827937
